id	year	growth	site	farm	land	long	lat	ln_cover	site.rich	ln_site.rich	site.FRic	feedagg.FRic	substrate.FRic	diet.FRic	nestagg.FRic	movements.FRic	lnmass.FRic	large	small	v.small	flocking	non-flocking	aerial	canopy	ground	under	invert	nectar	seeds	varied	colonial	non-colonial	local	nomadic	partial
2002-S-HOPK-1	2002	regrowth	HOPK-1	Hopk	Bethungra	147.7987815	-34.8434005	0	15	2.708050201	0.332060868	2	2	3	2	3	3.344283341	8	4	3	13	2	0	5	10	0	6	0	7	2	9	6	11	1	3
2002-S-HOPK-2	2002	oldgrowth	HOPK-2	Hopk	Bethungra	147.783904	-34.8419914	0	12	2.48490665	0.259366121	2	3	4	2	2	2.987823809	5	5	2	10	2	1	3	8	0	4	1	5	2	7	5	10	0	2
2002-S-HOPK-3	2002	oldgrowth	HOPK-3	Hopk	Bethungra	147.7911608	-34.8356954	0	9	2.197224577	0.273343255	2	2	3	2	2	3.031145761	6	2	1	8	1	0	4	5	0	2	0	3	4	5	4	7	0	2
2002-S-HOPK-4	2002	oldgrowth	HOPK-4	Hopk	Bethungra	147.8156109	-34.831972	0	4	1.386294361	0.08254074	2	2	3	2	1	1.110043598	3	1	0	3	1	0	2	2	0	0	0	1	2	2	2	4	0	0
2002-S-KLUF-1	2002	regrowth	KLUF-1	Kluf	Tumblong	147.988242	-35.1307596	2.302585093	12	2.48490665	0.306228796	2	3	5	2	3	2.496081314	2	5	5	6	6	0	7	3	2	7	2	1	1	3	9	8	2	2
2002-S-KLUF-2	2002	regrowth	KLUF-2	Kluf	Tumblong	147.9867328	-35.1284817	1.609437912	13	2.564949357	0.304997355	2	2	5	2	3	2.83360211	3	6	4	8	5	0	7	6	0	8	1	1	2	5	8	7	4	2
2002-S-KLUF-3	2002	regrowth	KLUF-3	Kluf	Tumblong	147.9809803	-35.1311072	0	9	2.197224577	0.367412178	2	2	4	2	3	3.031145761	3	4	2	6	3	0	4	5	0	4	2	2	1	5	4	4	2	3
2002-S-KLUF-4	2002	regrowth	KLUF-4	Kluf	Tumblong	147.9667438	-35.1208072	0	19	2.944438979	0.376627166	2	3	5	2	3	2.707689123	3	11	5	13	6	1	10	8	0	10	4	2	2	9	10	8	4	7
2002-S-LIND-1	2002	oldgrowth	LIND-1	Lind	Gundagai	148.1159904	-35.1318596	0	13	2.564949357	0.323442727	2	2	5	2	3	2.640048531	2	8	3	10	3	0	8	5	0	7	1	3	1	6	7	9	3	1
2002-S-LIND-2	2002	oldgrowth	LIND-2	Lind	Gundagai	148.1222021	-35.138222	0.693147181	13	2.564949357	0.282167554	2	2	4	2	3	2.83360211	3	8	2	9	4	0	7	6	0	8	1	3	0	6	7	9	3	1
2002-S-LIND-3	2002	regrowth	LIND-3	Lind	Gundagai	148.1464926	-35.1413218	0.693147181	19	2.944438979	0.407803091	2	3	4	2	3	2.623545175	3	9	7	12	7	0	10	8	1	11	2	4	2	5	14	13	1	5
2002-S-LIND-4	2002	regrowth	LIND-4	Lind	Gundagai	148.1205417	-35.1620233	1.098612289	15	2.708050201	0.349847303	2	2	4	2	3	2.812582333	7	6	2	10	5	0	6	9	0	6	3	3	3	2	13	11	1	3
2002-S-MART-1	2002	planting	MART-1	Mart	Coreinbob	147.6401324	-35.203476	0	12	2.48490665	0.278941949	2	3	3	2	3	2.216040804	1	2	9	6	6	0	6	3	3	10	1	1	0	3	9	6	1	5
2002-S-MART-2	2002	planting	MART-2	Mart	Coreinbob	147.6512718	-35.2062119	0	18	2.890371758	0.399957448	2	3	4	2	3	2.72527505	2	8	8	12	6	0	10	7	1	11	3	2	2	5	13	10	3	5
2002-S-MART-3	2002	planting	MART-3	Mart	Coreinbob	147.6650196	-35.2161549	0	17	2.833213344	0.33631135	2	3	4	2	3	3.180752322	3	9	5	12	5	0	7	8	2	10	1	4	2	8	9	12	3	2
2002-S-MART-4	2002	oldgrowth	MART-4	Mart	Coreinbob	147.6369453	-35.2202012	1.098612289	20	2.995732274	0.339542549	2	4	4	2	3	2.527160258	4	12	4	14	6	1	9	9	1	12	1	4	3	11	9	11	3	6
2002-S-MATH-1	2002	regrowth	MATH-1	Math	Mirabooka	147.47425	-35.69492	1.945910149	17	2.833213344	0.312247592	2	2	4	2	3	3.19467678	4	10	3	11	6	0	8	9	0	9	1	4	3	8	9	11	4	2
2002-S-MATH-2	2002	oldgrowth	MATH-2	Math	Mirabooka	147.48053	-35.68388	0	9	2.197224577	0.223868373	2	2	3	2	3	2.653073246	4	4	1	8	1	0	3	6	0	4	0	3	2	5	4	7	1	1
2002-S-MATH-3	2002	oldgrowth	MATH-3	Math	Mirabooka	147.48369	-35.68947	0	6	1.791759469	0.175133369	1	2	3	2	2	3.19467678	3	2	1	6	0	0	3	3	0	2	0	2	2	4	2	5	0	1
2002-S-MATH-4	2002	regrowth	MATH-4	Math	Mirabooka	147.49059	-35.68401	2.63905733	6	1.791759469	0.117093831	1	2	4	2	2	2.459519667	2	2	2	6	0	0	4	2	0	1	1	2	2	4	2	5	0	1
2002-S-MCRA-1	2002	planting	MCRA-1	Mcra	Junee	147.4588853	-34.6819288	0	16	2.772588722	0.386897202	2	3	4	2	3	3.004399897	7	6	3	13	3	0	6	9	1	8	0	5	2	7	9	11	1	4
2002-S-MCRA-2	2002	planting	MCRA-2	Mcra	Junee	147.4454704	-34.6699759	0	6	1.791759469	0.180367658	2	3	3	2	3	1.481033932	0	5	1	4	2	0	2	3	1	4	0	1	1	4	2	3	1	2
2002-S-MCRA-3	2002	planting	MCRA-3	Mcra	Junee	147.4423308	-34.6645586	0	8	2.079441542	0.232753526	2	3	3	2	3	2.154556122	3	4	1	5	3	1	1	6	0	3	0	4	1	2	6	5	1	2
2002-S-MCRA-4	2002	regrowth	MCRA-4	Mcra	Junee	147.4529367	-34.645997	2.302585093	5	1.609437912	0.051938267	2	1	4	2	2	1.832894373	3	1	1	4	1	0	5	0	0	1	0	1	1	2	3	4	0	1
